episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
22,9023,configs/experiments/reaching_recovery/manifests/v1_final.json,22.625583555777077,8.371123127639294,32,1,0,0,0,0,0,,any,0,0,,,nan,0,0.052665624767541885,1.6,0.26351311802864075,0.2615975977387279,0.46142229437828064,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24314361531287432,2.457472085952759,43.71508026123047,0,0,0,0.0,0,nan
23,9024,configs/experiments/reaching_recovery/manifests/v1_final.json,21.453251692317338,12.441055219620466,100,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05150230973958969,5.0,0.2899087071418762,0.12441055219620466,0.3386518061161041,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1507556271739304,1.554848074913025,25.65350341796875,0,0,0,0.0,0,nan
24,9025,configs/experiments/reaching_recovery/manifests/v1_final.json,25.902392267158156,1.6722478494048119,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0519452728331089,0.9,0.37809503078460693,0.09290265830026732,0.13948677480220795,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2058503965122832,2.0840468406677246,36.52228546142578,0,0,0,0.0,0,nan
25,9026,configs/experiments/reaching_recovery/manifests/v1_final.json,23.271812739833067,1.3224736750125885,20,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05440773069858551,1.0,0.45944881439208984,0.06612368375062942,0.1035088449716568,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16031888239085673,1.6365617513656616,26.502233505249023,0,0,0,0.0,0,nan
26,9027,configs/experiments/reaching_recovery/manifests/v1_final.json,-7.084004814724438,794.4307798743248,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.12795576453208923,12.0,0.044105030596256256,0.7601282494763534,0.8285165429115295,204,0.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0673296343612795,0.7614383697509766,17.49210548400879,0,0,0,0.0,0,nan
27,9028,configs/experiments/reaching_recovery/manifests/v1_final.json,-40.60138415119029,22.529474463313818,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.315572053194046,12.0,0.18941965699195862,0.09387281026380757,0.36435383558273315,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23648155867898216,2.2320852279663086,33.4306526184082,0,0,0,0.0,0,nan
28,9029,configs/experiments/reaching_recovery/manifests/v1_final.json,25.075452919125603,1.9531903080642223,28,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05465142801403999,1.4000000000000001,0.3015860617160797,0.06975679671657938,0.14856202900409698,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1802642454526254,1.7195384502410889,27.013486862182617,0,0,0,0.0,0,nan
29,9030,configs/experiments/reaching_recovery/manifests/v1_final.json,-30.138996909507078,28.975141435861588,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.18065354228019714,12.0,0.2335629165172577,0.12072975598275662,0.38198187947273254,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05525671253562905,0.7751401662826538,14.403800010681152,0,0,0,0.0,0,nan
30,9031,configs/experiments/reaching_recovery/manifests/v1_final.json,22.354131472211606,21.55890978872776,51,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053715236485004425,2.5500000000000003,0.1401647925376892,0.42272372134760317,0.7023051381111145,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13645038392175646,1.4250085353851318,24.946165084838867,0,0,0,0.0,0,nan
31,9032,configs/experiments/reaching_recovery/manifests/v1_final.json,23.870533997097176,0.373679356649518,15,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05274001136422157,0.75,0.5527287125587463,0.024911957109967867,0.033556580543518066,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2879843572775523,2.516531229019165,41.89194869995117,0,0,0,0.0,0,nan
32,9033,configs/experiments/reaching_recovery/manifests/v1_final.json,20.548182502443503,388.5250006914139,139,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05371938645839691,6.95,0.06084192544221878,0.7232014438231215,0.8526734113693237,96,0.6906474820143885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18905515030776854,1.7362877130508423,52.6589469909668,0,0,0,0.0,0,nan
33,9034,configs/experiments/reaching_recovery/manifests/v1_final.json,23.657578226735687,3.195692226290703,75,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05277899652719498,3.75,0.3439919054508209,0.04260922968387604,0.18172061443328857,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10689916223287582,1.262397289276123,20.448352813720703,0,0,0,0.0,0,nan
34,9035,configs/experiments/reaching_recovery/manifests/v1_final.json,21.538156669808338,0.377990260720253,7,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05399605631828308,0.35000000000000003,0.5596170425415039,0.05399860867432186,0.0619364008307457,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29862020909786224,2.7988808155059814,59.56974792480469,0,0,0,0.0,0,nan
35,9036,configs/experiments/reaching_recovery/manifests/v1_final.json,21.87606604547172,1.1761711314320564,7,1,0,0,0,0,0,,any,0,0,,,nan,0,0.051584117114543915,0.35000000000000003,0.48479217290878296,0.16802444734743663,0.2106105536222458,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22484649611370905,2.1690807342529297,43.518672943115234,0,0,0,0.0,0,nan
36,9037,configs/experiments/reaching_recovery/manifests/v1_final.json,23.49744146169292,0.638431441038847,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05275823175907135,0.5,0.3620090186595917,0.0638431441038847,0.08148031681776047,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2751976802945137,2.7231998443603516,48.17125701904297,0,0,0,0.0,0,nan
37,9038,configs/experiments/reaching_recovery/manifests/v1_final.json,23.782064778530817,0.32114443741738796,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.040367789566516876,0.6000000000000001,0.5174897313117981,0.026762036451448996,0.04123150557279587,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2530442029237747,2.4851648807525635,46.774009704589844,0,0,0,0.0,0,nan
38,9039,configs/experiments/reaching_recovery/manifests/v1_final.json,21.126447330975886,1.7657953053712845,7,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05340055376291275,0.35000000000000003,0.2644166648387909,0.2522564721958978,0.2770518362522125,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18607933978949273,2.0951476097106934,46.88329315185547,0,0,0,0.0,0,nan
39,9040,configs/experiments/reaching_recovery/manifests/v1_final.json,25.690519336496735,2.106069441884756,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.048641763627529144,0.8500000000000001,0.4356876611709595,0.12388643775792683,0.3298577070236206,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2872497623457628,2.641547203063965,40.234275817871094,0,0,0,0.0,0,nan
40,9041,configs/experiments/reaching_recovery/manifests/v1_final.json,-38.18336114313993,13.74044281989336,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4115409255027771,12.0,0.2727365493774414,0.057251845082889004,0.26890942454338074,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39766180696121106,3.5939855575561523,67.22620391845703,0,0,0,0.0,0,nan
41,9042,configs/experiments/reaching_recovery/manifests/v1_final.json,21.838684769827434,5.218451589345932,42,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05120393633842468,2.1,0.30330806970596313,0.12424884736537933,0.18923017382621765,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08469733152361143,0.9306429028511047,18.893163681030273,0,0,0,0.0,0,nan
42,9043,configs/experiments/reaching_recovery/manifests/v1_final.json,24.695252584104622,4.705578163266182,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0510394386947155,0.65,0.28252729773521423,0.3619675510204755,0.5175024271011353,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2337966377918537,2.1791789531707764,36.442203521728516,0,0,0,0.0,0,nan
43,9044,configs/experiments/reaching_recovery/manifests/v1_final.json,25.681710961562423,0.5672092512249947,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049644745886325836,0.65,0.40715768933296204,0.04363148086346113,0.06061460077762604,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3062760251072737,2.7469990253448486,41.37040328979492,0,0,0,0.0,0,nan
44,9045,configs/experiments/reaching_recovery/manifests/v1_final.json,23.187688669833918,8.489747168496251,215,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054594963788986206,10.75,0.39355143904685974,0.0394871961325407,0.06609892100095749,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05627844165685738,0.737239420413971,11.872213363647461,0,0,0,0.0,0,nan
45,9046,configs/experiments/reaching_recovery/manifests/v1_final.json,23.920133664701307,0.43611034378409386,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05439712107181549,0.55,0.4545038044452667,0.03964639488946308,0.04572262242436409,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27318770912560547,2.4933464527130127,42.35062026977539,0,0,0,0.0,0,nan
46,9047,configs/experiments/reaching_recovery/manifests/v1_final.json,25.134084594787506,0.7423959728330374,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03891974315047264,0.8500000000000001,0.34063035249710083,0.04367035134311985,0.09445717185735703,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20717929654261646,1.9078381061553955,26.398008346557617,0,0,0,0.0,0,nan
47,9048,configs/experiments/reaching_recovery/manifests/v1_final.json,23.313848359948675,2.995009273290634,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04729078710079193,0.45,0.27979934215545654,0.33277880814340377,0.4178963303565979,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22841927409172058,2.1571881771087646,41.664703369140625,0,0,0,0.0,0,nan
48,9049,configs/experiments/reaching_recovery/manifests/v1_final.json,-38.937197623854395,14.877920672297478,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.4536055624485016,12.0,0.35725530982017517,0.061991336134572826,0.2955857217311859,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3123736029335608,2.8698980808258057,48.14218521118164,0,0,0,0.0,0,nan
49,9050,configs/experiments/reaching_recovery/manifests/v1_final.json,22.699055700065603,2.65327587723732,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05082730948925018,0.5,0.28598377108573914,0.265327587723732,0.32770758867263794,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2186913087964058,1.9355541467666626,31.445829391479492,0,0,0,0.0,0,nan
50,9051,configs/experiments/reaching_recovery/manifests/v1_final.json,23.788359693018954,0.4433402083814144,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05027926713228226,0.6000000000000001,0.48631495237350464,0.03694501736511787,0.048246800899505615,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32165296748280525,2.8982174396514893,55.00761032104492,0,0,0,0.0,0,nan
