episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
11,2158,-113.65530585966576,65.5191410612315,240,0,0,0.004166666666666667,0.11904174834489822,0.2386427125117431,0.825,0.09170807081182118,0.04583333333333333,0.04583333333333333,0.0,0.016666666666666666,-0.005482710199239793,0.003791703807655722,0.0,0.14191827178001404
12,2398,-153.18700737812955,77.75483398139477,240,0,0,0.0,0.1268957406282425,0.2962075002957135,0.85,0.08632289556473904,0.0,0.0,0.0,0.0,0.001749609614926595,0.004029328795149922,0.0,0.13234777748584747
13,2638,-96.18584006540979,64.85483323875815,240,0,0,0.0,0.12179500609636307,0.2403733793296851,0.8291666666666667,0.085863903565629,0.0,0.0,0.0,0.0,0.0010973579158326252,0.003229440550785512,0.0,0.12362018972635269
14,2878,-140.32684194944457,73.57321476191282,240,0,0,0.0,0.13197015225887299,0.2877306212981542,0.8041666666666667,0.06486803264525189,0.0,0.0,0.0,0.0,0.0008014167446464271,0.003889260662253946,0.0,0.11563801765441895
15,3118,-142.2056575479994,57.23738635331392,240,0,0,0.0,0.1310674399137497,0.22296670882496983,0.8125,0.10250064693871618,0.0,0.0,0.0,0.0,0.0037808803256378365,0.0036110806084858876,0.0,0.1082531213760376
16,3358,-112.90704426053085,53.70842180773616,240,0,0,0.0,0.12389466911554337,0.20412983085649708,0.9,0.14341183189086784,0.0,0.0,0.0,0.0,0.0005427268250823292,0.007852698055406412,0.0,0.10134764760732651
17,3598,-183.65941954375424,52.16725728660822,240,0,0,0.0,0.13396726548671722,0.19725367755939563,0.8,0.11208089024402919,0.0,0.0,0.0,0.0,0.002099574372053742,0.004432973874888072,0.0,0.09488768875598907
18,3719,2.5253557115111818,16.103368626907468,121,1,0,0.0,0.2904742956161499,0.12429652617058971,0.8264462809917356,0.0922189509181395,0.0,0.0,0.0,0.0,0.14527143721260122,0.004305485135698614,0.0,0.09178382158279419
19,3959,-120.9129502894017,77.81760371848941,240,0,0,0.0,0.12010446935892105,0.30982365952804686,0.8625,0.1773344175919058,0.0,0.0,0.0,0.0,0.00010448944487553846,0.033891247100352,0.0,0.08597959578037262
20,4199,-95.86891355531208,31.964318946003914,240,0,0,0.0,0.15064474940299988,0.12108160680315147,0.8958333333333334,0.1390337064195,0.0,0.0,0.0,0.0,0.005116908750085192,0.0040636624636438985,0.0,0.08062463998794556
21,4229,-60.17673975956164,50.75452569127083,30,0,1,0.26666666666666666,-0.009352481923997402,0.5453723415732383,0.7,0.21043121215465505,0.36666666666666664,0.16666666666666666,0.2,0.3333333333333333,-0.1633358195743187,0.050247774086892606,0.0,0.0799882635474205
22,4469,-243.41642851492466,133.81628285720944,240,0,0,0.1125,0.051652293652296066,0.210313978116028,0.8875,0.16493731522308458,0.10833333333333334,0.0,0.10833333333333334,0.125,-0.0683480580017226,0.021778698013319324,0.0,0.07511311024427414
23,4709,-88.2050122898816,45.25285457633436,240,0,0,0.0,0.12144923955202103,0.18099888427338254,0.7875,0.11528778945324619,0.0,0.0,0.0,0.0,0.0014492343065060642,0.010159055007776866,0.0,0.07058478146791458
24,4935,-292.2648053432416,210.88485051691532,226,0,1,0.17256637168141592,0.011992492713034153,0.35440277939546955,0.7345132743362832,0.1577410882445074,0.16371681415929204,0.004424778761061947,0.1592920353982301,0.18584070796460178,-0.12802898699122772,0.03643369436082718,0.0,0.0665847659111023
25,5175,-195.1305867016893,66.66027399525046,240,0,0,0.0,0.12038468569517136,0.2522038911934942,0.65,0.10714007903371,0.0,0.0,0.0,0.0,0.00038061542696818385,0.020078168130324533,0.0,0.06261885911226273
