seed,step,observation_max_abs_diff,action_max_abs_diff,qdot_cmd_max_abs_diff,qdot_requested_max_abs_diff,field_mismatches,passed,qdot_cmd_radps,qdot_requested_radps,termination_reason,collision_capsule_overlap,collision_pybullet_contact,collision_any,termination_collision,safety_filter_status,v1_safety_filter_status,safety_filter_safe_stop,v1_safety_filter_safe_stop,viability_status,viability_solver_status
9001,25,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34612804651260376, -0.2997274696826935, -0.3076775074005127, -0.23352469503879547, -0.000664225488435477, 0.2749045789241791]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,26,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3459383249282837, -0.28679966926574707, -0.30738556385040283, -0.22426873445510864, -0.008407754823565483, 0.26415207982063293]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,27,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3457806408405304, -0.2684033513069153, -0.3098856508731842, -0.21812693774700165, -0.023480873554944992, 0.256060391664505]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,28,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3458278179168701, -0.24396927654743195, -0.3126952648162842, -0.21162621676921844, -0.048304714262485504, 0.2486746609210968]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,29,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34604498744010925, -0.21829140186309814, -0.3152538239955902, -0.21263891458511353, -0.07599315047264099, 0.24314647912979126]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,30,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34624961018562317, -0.18758650124073029, -0.3176262080669403, -0.21395820379257202, -0.1035977378487587, 0.23694996535778046]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,31,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34649473428726196, -0.15071722865104675, -0.3201042413711548, -0.21726618707180023, -0.12904025614261627, 0.23038974404335022]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,32,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34663066267967224, -0.09765970706939697, -0.3225707411766052, -0.221527099609375, -0.14344528317451477, 0.22552210092544556]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,33,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.346657931804657, -0.034669000655412674, -0.3243585228919983, -0.22655078768730164, -0.15660637617111206, 0.22088828682899475]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,34,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3466000556945801, 0.03324105963110924, -0.32613348960876465, -0.23076337575912476, -0.17006030678749084, 0.21509206295013428]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,35,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3464396893978119, 0.06957841664552689, -0.3276415765285492, -0.23321519792079926, -0.17610085010528564, 0.20981287956237793]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,36,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3462802469730377, 0.10028824955224991, -0.32911059260368347, -0.23681116104125977, -0.1790250539779663, 0.2083246111869812]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,37,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34610703587532043, 0.12241197377443314, -0.33055785298347473, -0.24182157218456268, -0.18320950865745544, 0.2109318971633911]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,38,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34588414430618286, 0.14380010962486267, -0.33138591051101685, -0.2465975135564804, -0.18762065470218658, 0.21269436180591583]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,39,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.345635324716568, 0.16516172885894775, -0.3320816457271576, -0.25043562054634094, -0.19324223697185516, 0.21399664878845215]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,40,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.34534698724746704, 0.18531711399555206, -0.3329310417175293, -0.2530055642127991, -0.1997009962797165, 0.21529556810855865]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,41,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3449963629245758, 0.2034616768360138, -0.3337382972240448, -0.255758136510849, -0.20555879175662994, 0.2161165475845337]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,42,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3446073532104492, 0.22046774625778198, -0.33451542258262634, -0.25850817561149597, -0.21139058470726013, 0.2169150561094284]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,43,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3441705107688904, 0.2362270951271057, -0.33524808287620544, -0.2611972987651825, -0.21731145679950714, 0.21769264340400696]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
9001,44,0.0,0.0,0.0,0.0,[],True,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3431525230407715, 0.25567197799682617, -0.3352392911911011, -0.26128193736076355, -0.21891947090625763, 0.22057580947875977]",,0,0,0,0,safe_stop_infeasible,safe_stop_infeasible,1,1,model_infeasible_static_or_slow,strict_infeasible_static_or_slow
