step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
26,1.35,-0.25390151020009744,0.19476139545440674,0.4826076924800873,0.27128666639328003,0.19476141035556793,0.35,5,0,0,0,0.8914645910263062,3.668006420135498,98.99453735351562,0.8914637565612793,filtered,1.4976001596582813e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.15021201459373928,0.003096316009759903
27,1.4000000000000001,-0.17790393882105554,0.18175490200519562,0.4589225947856903,0.2750985324382782,0.1817549169063568,0.35,5,0,0,0,0.9874923825263977,3.5509145259857178,59.52272033691406,0.9874916076660156,filtered,1.3988125459773972e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.15128670255115118,0.004666515626013279
28,1.4500000000000002,-0.11897560125574053,0.16175220906734467,0.4354649484157562,0.2821350693702698,0.16151031851768494,0.35,5,0,0,0,1.0329657793045044,1.4198037385940552,53.27415466308594,1.0329649448394775,filtered,1.429765841378244e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.15509855490239677,0.004876189865171909
29,1.5,-0.10693186715493112,0.1555151790380478,0.41372042894363403,0.2928195595741272,0.1555151641368866,0.35,5,0,0,0,0.9997822046279907,2.2109997272491455,49.14702224731445,0.9997819066047668,filtered,6.323274410724932e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.16213509512626567,0.003109291195869446
30,1.55,-0.09313604540544929,0.14483556151390076,0.39360976219177246,0.3055482804775238,0.14483557641506195,0.35,5,0,0,0,0.9386375546455383,2.086134195327759,44.37455368041992,0.9386375546455383,passthrough,1.556268255515522e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.17281957921238528,0.004321843385696411
31,1.6,-0.07431293365956385,0.13335220515727997,0.3746481239795685,0.30718129873275757,0.13335219025611877,0.35,3,0,0,0,0.8369240164756775,3.934187173843384,43.7670783996582,0.8369240164756775,passthrough,1.3611881898127924e-09,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.18554829167758136,0.00482694897800684
32,1.6500000000000001,-0.05877280897184342,0.12477176636457443,0.35669663548469543,0.3092549443244934,0.12477176636457443,0.35,3,0,0,0,0.7563644647598267,5.160286903381348,36.01462173461914,0.7563644647598267,filtered,1.0843702524255353e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.187181286334484,0.002860395237803459
33,1.7000000000000002,-0.03932250773372402,0.11683712154626846,0.33947694301605225,0.31205713748931885,0.11683711409568787,0.35,3,0,0,0,0.7531530857086182,4.416628837585449,42.14762878417969,0.7531530261039734,filtered,1.366935159920995e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.18925495651629248,0.004618863575160503
34,1.75,-0.01264904707319836,0.11344794183969498,0.32228270173072815,0.3149317502975464,0.11344796419143677,0.35,3,0,0,0,0.7926873564720154,3.1067161560058594,31.124370574951172,0.7926871180534363,filtered,5.175391237046041e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.19205712521516466,0.002843518741428852
35,1.8,0.02241566648141821,0.11136212944984436,0.30452534556388855,0.31749987602233887,0.11136210709810257,0.35,3,0,0,0,0.800759494304657,1.9576590061187744,43.169036865234375,0.8007593750953674,filtered,1.9516658968756685e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.19493177609732754,0.0043057603761553764
