target_capsule,target_capsule_index,sample_index,capsule_closest_index,bullet_closest_link_index,capsule_distance_m,bullet_distance_m,capsule_minus_bullet_m,capsule_violation,bullet_violation,capsule_collision,bullet_collision
forearm,2,21,4,7,0.018328317378671147,0.022900764228795084,-0.004572446850123937,1,1,0,0
forearm,2,22,2,4,0.0842968176136622,0.01575492887691425,0.06854188873674795,1,1,0,0
forearm,2,23,2,4,0.26760034031845714,0.2254819027355618,0.04211843758289535,0,0,0,0
forearm,2,24,2,4,-0.0015635660058565537,0.004337610800122849,-0.005901176805979402,1,1,1,0
forearm,2,25,2,4,-0.0005072373749007986,-0.003130590351453341,0.0026233529765525426,1,1,1,1
forearm,2,26,1,3,0.13026375822569497,-0.00831763597374749,0.13858139419944246,0,1,0,1
forearm,2,27,1,3,0.11096001178636677,-0.031479007051361245,0.14243901883772803,1,1,0,1
forearm,2,28,1,2,0.08442879047145901,0.16609161515551701,-0.081662824684058,1,0,0,0
forearm,2,29,2,4,0.041606140240729894,0.040699667115615776,0.0009064731251141184,1,1,0,0
forearm,2,30,2,3,0.04223759690961673,-0.0904932832582961,0.13273088016791285,1,1,0,1
forearm,2,31,1,3,0.08881041943980841,-0.05752496482012338,0.14633538425993178,1,1,0,1
forearm,2,32,1,4,0.12996747564656513,0.15592071062411808,-0.025953234977552947,0,0,0,0
forearm,2,33,1,4,-0.11198305925560076,-0.058105325886304605,-0.05387773336929615,1,1,1,1
forearm,2,34,2,4,0.170968006038635,0.17491450545307452,-0.0039464994144395305,0,0,0,0
forearm,2,35,2,4,0.08048346865797198,0.07296716516089954,0.007516303497072441,1,1,0,0
forearm,2,36,2,5,0.15648989282264525,0.14557726128625456,0.010912631536390688,0,0,0,0
forearm,2,37,1,3,0.12581424625962406,-0.020446688681937726,0.14626093494156178,0,1,0,1
forearm,2,38,1,3,-0.02598822777079296,-0.09799792644950045,0.07200969867870749,1,1,1,1
forearm,2,39,1,4,0.052572206172323416,0.05798162478929317,-0.005409418616969752,1,1,0,0
forearm,2,40,1,4,0.06282605590612506,0.10952749533373657,-0.04670143942761151,1,1,0,0
forearm,2,41,4,7,-0.06600336889712355,-0.062129766671903126,-0.0038736022252204225,1,1,1,1
forearm,2,42,2,3,0.07131734016043903,-0.04284893594321665,0.11416627610365568,1,1,0,1
forearm,2,43,0,1,0.05727742937936359,0.05997789133623488,-0.0027004619568712918,1,1,0,0
forearm,2,44,2,4,0.12399040396473093,0.12299548102120272,0.0009949229435282092,0,0,0,0
forearm,2,45,0,1,0.11519060901421307,0.12355576882254088,-0.008365159808327804,1,0,0,0
forearm,2,46,2,4,0.04376388829685715,0.07392358757285969,-0.03015969927600254,1,1,0,0
forearm,2,47,3,6,0.09438935316780722,0.08089393848351686,0.013495414684290358,1,1,0,0
forearm,2,48,2,5,-0.013981777445325298,-0.00042166990748192246,-0.013560107537843376,1,1,1,1
forearm,2,49,3,6,-0.007278948435819332,-0.007893782791146275,0.0006148343553269431,1,1,1,1
forearm,2,50,1,4,-0.07327545756409817,-0.050385200945426825,-0.022890256618671348,1,1,1,1
forearm,2,51,3,6,0.10787872758578382,0.09021705616321285,0.017661671422570968,1,1,0,0
forearm,2,52,2,4,-0.10065897958344128,-0.10342759819253385,0.0027686186090925685,1,1,1,1
forearm,2,53,1,4,0.06803843247702968,0.07672861896556346,-0.008690186488533785,1,1,0,0
forearm,2,54,2,4,0.14097330161905447,0.13742591308267332,0.0035473885363811464,0,0,0,0
forearm,2,55,2,5,-0.050684664454329974,-0.04251899643218997,-0.008165668022140006,1,1,1,1
forearm,2,56,2,5,0.054940695565385556,0.07330268805979118,-0.01836199249440562,1,1,0,0
forearm,2,57,2,3,0.2601140521056201,0.25306972436351965,0.0070443277421004535,0,0,0,0
forearm,2,58,2,4,0.10134731464733465,0.0903082852991505,0.011039029348184154,1,1,0,0
forearm,2,59,2,4,-0.018922320367704963,-0.023130212418515296,0.004207892050810333,1,1,1,1
