step,total_steps,episode,reset_seed,reset_source,reset_jitter_seed,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha,loss_actor,loss_actor_anchor,loss_reward_q,loss_cost_q,replay_size
238500,420000,227,,default,,75,-0.10732790011832329,0.03609224408864975,-1.146994892604835,2.6194545924663544,0.03609224408864975,0.6096243262290955,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,15.656915664672852,129.466552734375,18500
239000,420000,236,,default,,97,-0.13975995840277505,0.050492025911808014,-12.762998767468027,6.625870570540428,0.050492025911808014,0.4709738492965698,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,17.309104919433594,56.62736129760742,19000
239500,420000,238,,default,,117,-0.1554261117779916,0.08998186141252518,-12.292019587913405,12.554657012224197,0.08998186141252518,0.3882673680782318,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,12.926000595092773,53.29368209838867,19500
240000,420000,243,,default,,240,-0.4219834476010874,0.04612772911787033,-32.68459303615527,7.516038736328483,0.04612772911787033,0.5914976596832275,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,13.752242088317871,53.27687454223633,20000
240500,420000,247,,default,,228,-0.7009595610498627,0.048348959535360336,-344.3942839638633,15.695226512849331,0.048348959535360336,0.6075796484947205,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.00647491542622447,-5.018222332000732,0.0,12.844630241394043,143.02117919921875,20500
241000,420000,250,,default,,8,-0.2233168736011198,0.11659937351942062,-2.310709544468195,1.2978312000632286,0.11659937351942062,0.3111530542373657,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0075564151629805565,-16.622892379760742,0.0,7.407443046569824,66.47252655029297,21000
241500,420000,252,,default,,122,-1.6437459689780474,0.07172610610723495,-144.86430152640685,17.446790140122175,0.07172610610723495,0.4876020848751068,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.00869743898510933,-24.621639251708984,0.0,6.720621585845947,125.80323791503906,21500
242000,420000,254,,default,,142,-1.1030865460718098,0.11551809310913086,-85.76270169223457,9.32796891964972,0.11551809310913086,0.4568842649459839,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.009825749322772026,-29.130910873413086,0.0,6.863204479217529,139.81051635742188,22000
242500,420000,256,,default,,162,-1.4635957901426926,0.020439907908439636,-173.98805235695417,8.87075830809772,0.020439907908439636,0.6925008296966553,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.011065064929425716,-34.98358154296875,0.0,9.745880126953125,225.38925170898438,22500
243000,420000,258,,default,,182,-0.6966313318128735,0.03356751799583435,-80.04380359426195,6.632943838834763,0.03356751799583435,0.7219730615615845,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.012410089373588562,-38.57998275756836,0.0,6.895819664001465,107.55390930175781,23000
