episode,step,reset_seed,reset_source,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
3019,660255,9004,focused,22.52282199506042,1.1097701489925385,26,1,0,0,0,0,0,,0.0,0.29921776056289673,0.04268346726894379,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3020,660274,9084,focused,23.17560140041135,1.7206510417163372,19,1,0,0,0,0,0,,0.0,0.4367997646331787,0.09056058114296511,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3021,660287,9185,focused,20.581754681657298,1.4622713550925255,13,1,0,0,0,0,0,,0.0,0.3755168318748474,0.11248241193019427,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3022,660294,9118,focused,24.910041632348197,0.2402787134051323,7,1,0,0,0,0,0,,0.0,0.5013189315795898,0.03432553048644747,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3023,660307,764116495,random,26.161232065186272,1.2881837543100119,13,1,0,0,0,0,0,,0.0,0.18988648056983948,0.09909105802384707,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3024,660319,9191,focused,21.745169015562887,2.602049373090267,12,1,0,0,0,0,0,,0.0,0.27057984471321106,0.21683744775752226,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3025,660335,109323359,random,26.982829314257543,0.572115384042263,16,1,0,0,0,0,0,,0.0,0.4248928427696228,0.03575721150264144,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3026,660347,9100,focused,18.670061227214735,3.9912191331386566,12,1,0,0,0,0,0,,0.0,0.30740681290626526,0.3326015944282214,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3027,660366,9145,focused,19.70453068571916,3.7207096219062805,19,1,0,0,0,0,0,,0.0,0.23061001300811768,0.19582682220559372,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3028,660381,2083437144,random,16.526528159052937,5.402855813503265,15,1,0,0,0,0,0,,0.0,0.1893465369939804,0.3601903875668844,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3029,660389,9085,focused,23.372400160313045,0.49588818848133087,8,1,0,0,0,0,0,,0.0,0.36212319135665894,0.06198602356016636,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3030,660396,9118,focused,24.700016623772107,0.23988721892237663,7,1,0,0,0,0,0,,0.0,0.5011988878250122,0.034269602703196664,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3031,660409,1945245882,random,22.442331887820735,1.5023098550736904,13,1,0,0,0,0,0,,0.0,0.368545264005661,0.11556229654413003,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3032,660429,1053639362,random,22.463366371326533,1.6336159408092499,20,1,0,0,0,0,0,,0.0,0.30126696825027466,0.0816807970404625,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3033,660448,9084,focused,23.189211788888798,1.7482801042497158,19,1,0,0,0,0,0,,0.0,0.4336402416229248,0.0920147423289324,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3034,660460,9066,focused,26.140909691138766,0.2963086534291506,12,1,0,0,0,0,0,,0.0,0.6314115524291992,0.02469238778576255,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3035,660472,1329195744,random,21.220261390344213,2.3159533962607384,12,1,0,0,0,0,0,,0.0,0.3085029423236847,0.19299611635506153,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3036,660479,1480041795,random,23.921868847305344,0.8661768436431885,7,1,0,0,0,0,0,,0.0,0.24118486046791077,0.12373954909188407,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
