episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
23,9024,configs/experiments/reaching_recovery/manifests/v1_final.json,12.501980363996974,10.161468915641308,82,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05316980928182602,4.1000000000000005,0.2839474380016327,0.12392035262977205,0.39788371324539185,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2499311758523307,2.5010151863098145,52.62030029296875,0,0,0,0.0,0,nan
24,9025,configs/experiments/reaching_recovery/manifests/v1_final.json,23.791992191657172,2.4536158181726933,27,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05360592156648636,1.35,0.3780140280723572,0.09087465993232197,0.18621836602687836,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2558086771104071,2.474665403366089,45.1077766418457,0,0,0,0.0,0,nan
25,9026,configs/experiments/reaching_recovery/manifests/v1_final.json,21.18187528634021,2.139534216374159,42,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053922250866889954,2.1,0.4638575315475464,0.050941290866051404,0.0894070565700531,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13724630192986556,1.661817193031311,31.281402587890625,0,0,0,0.0,0,nan
26,9027,configs/experiments/reaching_recovery/manifests/v1_final.json,17.276054009816026,7.7405441999435425,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.036861851811409,0.65,0.12005854398012161,0.5954264769187341,0.8691736459732056,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2514137499607526,2.8041727542877197,58.440696716308594,0,0,0,0.0,0,nan
27,9028,configs/experiments/reaching_recovery/manifests/v1_final.json,21.20958531517638,1.4028773233294487,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050847481936216354,0.5,0.19259998202323914,0.14028773233294486,0.2879733741283417,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4308355040848255,4.200431823730469,81.47677612304688,0,0,0,0.0,0,nan
28,9029,configs/experiments/reaching_recovery/manifests/v1_final.json,24.192593820445815,1.3610753268003464,21,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05307088792324066,1.05,0.30128413438796997,0.06481311080001649,0.15765605866909027,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3499284184404782,3.3170578479766846,66.34137725830078,0,0,0,0.0,0,nan
29,9030,configs/experiments/reaching_recovery/manifests/v1_final.json,23.337224018302305,1.8223108537495136,28,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05246097221970558,1.4000000000000001,0.2561298906803131,0.06508253049105406,0.17574109137058258,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28818910302860395,2.7480714321136475,48.94157409667969,0,0,0,0.0,0,nan
30,9031,configs/experiments/reaching_recovery/manifests/v1_final.json,19.729102870553447,3.7433300018310547,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04981455206871033,0.7000000000000001,0.2573022246360779,0.2673807144165039,0.4229097068309784,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3422325365245342,3.336226224899292,70.58655548095703,0,0,0,0.0,0,nan
31,9032,configs/experiments/reaching_recovery/manifests/v1_final.json,23.927113164337037,0.3164974246174097,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04053015634417534,0.65,0.5569517016410828,0.024345955739800747,0.028045712038874626,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34511692707355207,3.18308424949646,69.53784942626953,0,0,0,0.0,0,nan
32,9033,configs/experiments/reaching_recovery/manifests/v1_final.json,19.66959830042719,4.359765917062759,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0540948212146759,0.4,0.17114873230457306,0.5449707396328449,0.6695348620414734,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4744630344212055,4.242147922515869,90.3398666381836,0,0,0,0.0,0,nan
