step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
21500,200000,134,7,0.03035561089803933,0.0,0.20662547023965294,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008356587029993534,21500
22000,200000,139,26,0.06134495018325891,0.0,0.6486336877409294,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008496133610606194,22000
22500,200000,141,133,-0.031093477533114536,0.0,-0.8904289728510814,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008621426299214363,22500
23000,200000,147,12,0.01977730667388528,0.0,0.8106207231876185,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008790483698248863,23000
23500,200000,151,118,-0.13870183774172148,0.0,-2.5037134525864113,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008940817788243294,23500
24000,200000,157,134,-0.06835591306062257,0.0,-3.2278503310146642,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009116880595684052,24000
24500,200000,164,200,-0.5122048942728636,0.0,-25.090972550804388,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009191475808620453,24500
25000,200000,169,99,-0.08062146865126238,0.0,-5.379241025105923,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009530911222100258,25000
25500,200000,173,70,-0.0459260272653421,0.0,-0.79756919609578,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009602764621376991,25500
26000,200000,186,11,0.14574523833043912,0.0,-0.3098332471553933,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.009428397752344608,26000
26500,200000,194,2,0.24105966099148846,0.0,0.27481663516792443,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008990992791950703,26500
27000,200000,198,157,-0.05841019930691504,0.0,-3.7150973445505158,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008807266131043434,27000
27500,200000,206,29,0.10062642453435798,0.0,0.4056574300685817,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008773460984230042,27500
28000,200000,214,6,0.19869771152971671,0.0,0.1463019415474124,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008983801119029522,28000
28500,200000,224,5,0.006783647111559503,0.0,-0.05864312710230282,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008989457972347736,28500
29000,200000,236,1,-0.4730115249055234,0.0,-0.4730115249055234,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008715447969734669,29000
29500,200000,250,26,0.01889857420846097,0.0,2.141142718233978,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008788203820586205,29500
30000,200000,262,23,0.07191619003480348,0.0,1.2911667074944209,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.00879594311118126,30000
30500,200000,271,51,0.050500866258059246,0.0,-4.028091054779375,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008794961497187614,30500
31000,200000,281,44,-0.006184452045725113,0.0,2.59537522838759,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008924350142478943,31000
31500,200000,291,4,0.02388004648605346,0.0,-0.8367417436449176,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.008671524003148079,31500
