step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm
21,1.1,-0.11735971763072663,0.18849068880081177,0.09245999902486801,0.34525325894355774,0.18849068880081177,0.30185953815590894,2,0,0,0,0.8183282613754272,2.848633289337158,50.84343719482422
22,1.1500000000000001,-0.10297062557119716,0.19041404128074646,0.0970606803894043,0.33771055936813354,0.19041404128074646,0.29913850529876285,2,0,0,0,0.7022859454154968,3.6287872791290283,38.57548522949219
23,1.2000000000000002,-0.08093761432285534,0.19157686829566956,0.10037298500537872,0.3305301070213318,0.19157686829566956,0.29666225193274176,2,0,0,0,0.5859655141830444,3.4156389236450195,27.668933868408203
24,1.25,-0.07517615919125092,0.1844344139099121,0.10331249237060547,0.324059396982193,0.1844344139099121,0.29402141752838384,2,0,0,0,0.49265792965888977,3.0299906730651855,37.71657180786133
25,1.3,-0.08792375954697945,0.17442096769809723,0.10689616203308105,0.3183598816394806,0.17442096769809723,0.29067812265753323,2,0,0,0,0.4774923026561737,2.3751351833343506,39.7099494934082
26,1.35,-0.09395854813082427,0.17260880768299103,0.11074357479810715,0.3130398392677307,0.17260880768299103,0.28621358971873667,2,0,0,0,0.5058624148368835,1.329810619354248,45.44618225097656
27,1.4000000000000001,-0.1037915103859509,0.17026595771312714,0.11502627283334732,0.30810147523880005,0.17026595771312714,0.2806898805762117,2,0,0,0,0.5317307710647583,1.551962971687317,23.09050178527832
28,1.4500000000000002,-0.11619979776017303,0.16604501008987427,0.11985299736261368,0.30359870195388794,0.16604501008987427,0.2742433454949529,2,0,0,0,0.5700560212135315,2.427497148513794,22.115556716918945
29,1.5,-0.12837506913922014,0.15899787843227386,0.1252136379480362,0.2996203601360321,0.15899787843227386,0.26726860672387703,2,0,0,0,0.621201753616333,2.2948384284973145,15.104817390441895
30,1.55,-0.13247591367582645,0.15240810811519623,0.13064514100551605,0.2961311936378479,0.15240810811519623,0.26305401907455855,2,0,0,0,0.6833924055099487,2.392807722091675,14.139577865600586
31,1.6,-0.12477891177744256,0.15002168715000153,0.13550062477588654,0.2929478883743286,0.15002168715000153,0.26034477543488305,2,0,0,0,0.7485942244529724,2.5678107738494873,16.60750961303711
