step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
27,1.4000000000000001,-0.5145883826907562,0.4635007381439209,0.4446764886379242,0.23951275646686554,0.4616279602050781,0.35,5,0,0,0,1.1296970844268799,4.275508403778076,44.26034164428711,1.1296961307525635,filtered,1.226843757211981e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1299693618304545,0.002734476700425148
28,1.4500000000000002,-0.43564094499650996,0.5220488905906677,0.4201449453830719,0.22168444097042084,0.5220488905906677,0.35,5,0,0,0,1.17656409740448,4.600306987762451,44.89439392089844,1.17656409740448,passthrough,5.1903207344542815e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.11830204816601941,0.0028633084148168564
29,1.5,-0.35681946161138056,0.539861798286438,0.3927905559539795,0.2056586891412735,0.5398618578910828,0.35,5,0,0,0,1.1806362867355347,2.770977020263672,87.7977066040039,1.1806362867355347,passthrough,9.154222544059785e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.10168443186159482,0.003945773467421532
30,1.55,-0.2620432854786856,0.5002334713935852,0.3646896183490753,0.19476808607578278,0.5002334117889404,0.35,5,0,0,0,1.174416184425354,4.036899089813232,52.60490798950195,1.174416184425354,passthrough,1.1202605415534895e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.08565869692384459,0.0032466882839798927
31,1.6,-0.031197022653561335,0.2921265959739685,0.33745190501213074,0.19144095480442047,0.2921265661716461,0.35,5,0,0,0,1.183593511581421,4.002111911773682,41.3897819519043,1.1835936307907104,filtered,3.7055514211672014e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07476807379449107,0.004430136643350124
32,1.6500000000000001,0.06008073045017115,0.2892129123210907,0.3074573278427124,0.19205643236637115,0.2892129123210907,0.35,5,0,0,0,1.1978759765625,3.935389757156372,134.614501953125,1.1978759765625,passthrough,2.599195092450527e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07144094295437087,0.004311541095376015
33,1.7000000000000002,0.12520901676368618,0.2742678225040436,0.27666571736335754,0.19878001511096954,0.2742678225040436,0.35,5,0,0,0,1.217268705368042,4.1040358543396,75.79489135742188,1.217268466949463,filtered,2.7362863646680756e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07205643716073479,0.004278592765331268
34,1.75,0.1609665555101975,0.24974650144577026,0.2469969242811203,0.21069957315921783,0.24974650144577026,0.35,5,0,0,0,1.232016921043396,3.6197474002838135,89.6273422241211,1.2320162057876587,filtered,1.1719013379249604e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07878001773321958,0.004210267215967178
35,1.8,0.13704632959913277,0.22251471877098083,0.22149023413658142,0.22549177706241608,0.22251470386981964,0.35,5,0,0,0,1.2049013376235962,3.799376964569092,50.897891998291016,1.2049013376235962,passthrough,6.846926191306174e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.09069957211639246,0.005327685736119747
36,1.85,0.07135229254795145,0.19566649198532104,0.20203885436058044,0.2421122044324875,0.19566652178764343,0.35,5,0,0,0,1.1570945978164673,3.8296921253204346,51.785972595214844,1.1570945978164673,passthrough,4.794186933941596e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.1054917674891836,0.004614962264895439
37,1.9000000000000001,-0.03346356042897816,0.1710100769996643,0.19024500250816345,0.25971338152885437,0.17101004719734192,0.35,5,0,0,0,1.0547680854797363,4.854373931884766,57.53084182739258,1.0547677278518677,filtered,5.877563959482446e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.12211219875906765,0.004114816896617413
38,1.9500000000000002,-0.0785721204997718,0.14729231595993042,0.18259264528751373,0.2794933617115021,0.14729230105876923,0.35,5,0,0,0,1.0226218700408936,4.839510440826416,79.28739166259766,1.0226210355758667,filtered,1.0976488925679985e-06,0,0,12,,workspace_y_lower,0,0,1,solved,osqp,0.0,valid,0.1397133959534893,0.004197296686470509
