episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
42,241996,,default,,21.46641957693562,2.0640335753560066,32,1,0,0,0,0,0,,0.0,0.47474563121795654,0.06450104922987521,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
43,242019,,default,,23.565007399460352,1.536379249766469,23,1,0,0,0,0,0,,0.0,0.2193073034286499,0.06679909781593343,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
44,242039,,default,,17.931816545580034,6.106866128742695,20,1,0,0,0,0,0,,0.0,0.2611847519874573,0.30534330643713475,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
45,242052,,default,,23.857299435046972,0.37259397096931934,13,1,0,0,0,0,0,,0.0,0.5199955701828003,0.028661074689947642,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
46,242059,,default,,20.6511600527071,0.5170384608209133,7,1,0,0,0,0,0,,0.0,0.48667094111442566,0.07386263726013047,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
47,242107,,default,,13.10791616517724,10.470551669597626,48,1,0,0,0,0,0,,0.0,0.22592516243457794,0.2181364931166172,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
48,242119,,default,,23.224069352824245,0.730755016207695,12,1,0,0,0,0,0,,0.0,0.3594154715538025,0.06089625135064125,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
49,242141,,default,,23.82396438142139,0.6636466030031443,22,1,0,0,0,0,0,,0.0,0.5222399234771729,0.0301657546819611,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
50,242263,,default,,1.074377098087833,18.80837169662118,122,1,0,0,0,0,0,,0.0,0.2259700745344162,0.15416698111984573,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
51,242276,,default,,22.08705336132438,1.1926771104335785,13,1,0,0,0,0,0,,0.0,0.27907097339630127,0.09174439311027527,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
52,242299,,default,,24.691968809024537,0.7019010037183762,23,1,0,0,0,0,0,,0.0,0.5021862983703613,0.030517434944277225,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
53,242315,,default,,23.956096910923907,0.9244780614972115,16,1,0,0,0,0,0,,0.0,0.3593325912952423,0.057779878843575716,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
54,242327,,default,,22.868572601445237,0.5793058294802904,12,1,0,0,0,0,0,,0.0,0.387605756521225,0.0482754857900242,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
55,242567,,default,,-77.74909903084735,64.4858196824789,240,0,0,0,0,0,0,,0.0,0.1382877379655838,0.26869091534366213,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
56,242592,,default,,18.21195154650179,6.269500911235809,25,1,0,0,0,0,0,,0.0,0.2477915734052658,0.25078003644943236,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
57,242601,,default,,23.763195247608085,0.3024353086948395,9,1,0,0,0,0,0,,0.0,0.4969238042831421,0.033603923188315496,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
58,242606,,default,,20.507227038549292,1.180465042591095,5,1,0,0,0,0,0,,0.0,0.31359970569610596,0.236093008518219,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
59,242620,,default,,23.839453281465644,0.5897467322647572,14,1,0,0,0,0,0,,0.0,0.398260235786438,0.0421247665903398,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
60,242860,,default,,-31.00103007653633,19.906154673546553,240,0,0,0,0,0,0,,0.0,0.3394553065299988,0.0829423111397773,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
61,242873,,default,,20.462009011201534,3.963326707482338,13,1,0,0,0,0,0,,0.0,0.22086423635482788,0.3048712851909491,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
62,242896,,default,,23.19348350020778,0.8897044695913792,23,1,0,0,0,0,0,,0.0,0.5391589999198914,0.038682803025712136,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
63,242912,,default,,22.413927935619856,1.656741663813591,16,1,0,0,0,0,0,,0.0,0.22500371932983398,0.10354635398834944,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
64,242921,,default,,22.67071337900035,0.20381859503686428,9,1,0,0,0,0,0,,0.0,0.5814757347106934,0.022646510559651587,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
65,242956,,default,,-87.39664288213704,85.23756881058216,35,0,1,1,0,1,1,pybullet_contact,0.5142857142857142,0.037751082330942154,0.6639305374452046,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
66,243018,,default,,10.33229343988857,12.835321933031082,62,1,0,0,0,0,0,,0.0,0.20947204530239105,0.20702132150050132,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
67,243045,,default,,18.894970568547652,5.352147839963436,27,1,0,0,0,0,0,,0.0,0.3431520164012909,0.19822769777642357,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
68,243059,,default,,24.397114363796433,0.8198319301009178,14,1,0,0,0,0,0,,0.0,0.3615621030330658,0.058559423578636985,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
69,243082,,default,,18.96198382843163,4.934783041477203,23,1,0,0,0,0,0,,0.0,0.2757720947265625,0.2145557844120523,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
70,243322,,default,,-62.93275292992957,54.16849084198475,240,0,0,0,0,0,0,,0.0,0.19981415569782257,0.22570204517493644,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
71,243333,,default,,24.768840147160056,0.594378836452961,11,1,0,0,0,0,0,,0.0,0.4162505269050598,0.05403443967754191,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
72,243349,,default,,23.31247069631564,1.920530192553997,16,1,0,0,0,0,0,,0.0,0.38101455569267273,0.12003313703462481,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
73,243362,,default,,20.989245686920903,2.517011418938637,13,1,0,0,0,0,0,,0.0,0.23868820071220398,0.19361626299527976,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
74,243435,,default,,13.689862379399251,8.600288838148117,73,1,0,0,0,0,0,,0.0,0.3118797540664673,0.1178121758650427,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
75,243675,,default,,-75.89587904975036,62.44133561849594,240,0,0,0,0,0,0,,0.0,0.1641063243150711,0.2601722317437331,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
76,243685,,default,,23.791553574239295,0.7503084205091,10,1,0,0,0,0,0,,0.0,0.3389654755592346,0.07503084205091,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
77,243698,,default,,23.768680314390437,1.4129979647696018,13,1,0,0,0,0,0,,0.0,0.21740902960300446,0.10869215113612321,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
78,243713,,default,,24.411246970285834,0.33081587590277195,15,1,0,0,0,0,0,,0.0,0.5142645835876465,0.022054391726851464,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
79,243723,,default,,23.71881651992388,0.4715272821485996,10,1,0,0,0,0,0,,0.0,0.36047670245170593,0.04715272821485996,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
80,243735,,default,,21.703223334264752,0.4184395335614681,12,1,0,0,0,0,0,,0.0,0.49475038051605225,0.03486996113012234,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
81,243750,,default,,-36.3724332983342,36.76522895693779,15,0,1,1,1,1,1,pybullet_contact,0.4,-0.005801251158118248,0.7176819304625194,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
82,243766,,default,,22.310268286727936,1.384951926767826,16,1,0,0,0,0,0,,0.0,0.5012726783752441,0.08655949542298913,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
83,243783,,default,,24.3273155536724,0.5535667464137077,17,1,0,0,0,0,0,,0.0,0.4982646703720093,0.03256274978904163,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
84,243794,,default,,22.274110275626057,2.4365995675325394,11,1,0,0,0,0,0,,0.0,0.5159195065498352,0.22150905159386722,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
85,243810,,default,,24.276050576132857,0.7099192328751087,16,1,0,0,0,0,0,,0.0,0.3278779983520508,0.044369952054694295,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
86,243826,,default,,25.11658869468387,0.6830536052584648,16,1,0,0,0,0,0,,0.0,0.355390340089798,0.04269085032865405,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
87,243839,,default,,24.14067860938695,0.5080007202923298,13,1,0,0,0,0,0,,0.0,0.41407397389411926,0.03907697848402537,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
88,243869,,default,,21.680670835347204,1.1644752845168114,30,1,0,0,0,0,0,,0.0,0.5845271348953247,0.038815842817227046,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
89,243886,,default,,19.76615234454045,5.359330154955387,17,1,0,0,0,0,0,,0.0,0.25619080662727356,0.31525471499737573,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
90,243898,,default,,22.643926012120097,2.2750896960496902,12,1,0,0,0,0,0,,0.0,0.45893028378486633,0.18959080800414085,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
91,243910,,default,,22.01479583771925,1.0399730205535889,12,1,0,0,0,0,0,,0.0,0.28196731209754944,0.08666441837946574,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
92,243922,,default,,23.107244267977684,1.0177629962563515,12,1,0,0,0,0,0,,0.0,0.2479245960712433,0.08481358302136262,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
93,244162,,default,,-53.03125453188765,47.70189955830574,240,0,0,0,0,0,0,,0.0,0.21794773638248444,0.19875791482627392,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
94,244191,,default,,23.422484788899368,0.7770163118839264,29,1,0,0,0,0,0,,0.0,0.4135143458843231,0.026793665927031945,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
95,244205,,default,,21.951653271716854,2.1215828396379948,14,1,0,0,0,0,0,,0.0,0.163120836019516,0.1515416314027139,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
96,244224,,default,,22.34749383922747,3.179310876876116,19,1,0,0,0,0,0,,0.0,0.39420822262763977,0.16733215141453242,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
97,244233,,default,,24.068660643434242,0.3875132668763399,9,1,0,0,0,0,0,,0.0,0.4282017648220062,0.043057029652926654,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
98,244250,,default,,23.390857088115315,1.318019026890397,17,1,0,0,0,0,0,,0.0,0.2367498278617859,0.07753053099355277,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
99,244266,,default,,23.079842488455796,0.7989969775080681,16,1,0,0,0,0,0,,0.0,0.3148435354232788,0.049937311094254255,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
100,244305,,default,,21.56560654969795,1.5688380524516106,39,1,0,0,0,0,0,,0.0,0.47463396191596985,0.04022661672952848,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
101,244545,,default,,-9.801470099597093,8.44997693784535,240,0,0,0,0,0,0,,0.0,0.3900779187679291,0.03520823724102229,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
102,244566,,default,,23.750938996792115,0.8725454844534397,21,1,0,0,0,0,0,,0.0,0.3131537437438965,0.04154978497397332,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
103,244586,,default,,24.057655355898,0.9278161320835352,20,1,0,0,0,0,0,,0.0,0.2975955605506897,0.04639080660417676,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
104,244596,,default,,22.13794487238128,1.987418606877327,10,1,0,0,0,0,0,,0.0,0.40716788172721863,0.1987418606877327,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
105,244611,,default,,21.765576892418338,2.0634278804063797,15,1,0,0,0,0,0,,0.0,0.2859242558479309,0.13756185869375864,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
106,244630,,default,,17.693894491781997,6.651958607137203,19,1,0,0,0,0,0,,0.0,0.20434542000293732,0.35010308458616857,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
107,244644,,default,,25.047832474190354,0.3229267820715904,14,1,0,0,0,0,0,,0.0,0.5375868082046509,0.023066198719399317,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
108,244884,,default,,-58.141689590977755,52.49015433341265,240,0,0,0,0,0,0,,0.0,0.1950692981481552,0.21870897638921935,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
109,245071,,default,,-396.51964811655205,415.0594789981842,187,1,0,0,0,0,0,,0.5401069518716578,0.049087412655353546,0.5992485507924289,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
110,245082,,default,,23.522290723772404,0.4045436717569828,11,1,0,0,0,0,0,,0.0,0.3940310776233673,0.03677669743245298,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
111,245100,,default,,20.170324605901424,4.431709952652454,18,1,0,0,0,0,0,,0.0,0.3557194173336029,0.2462061084806919,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
112,245160,,default,,17.2482040719233,6.257304642349482,60,1,0,0,0,0,0,,0.0,0.3821881413459778,0.10428841070582469,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
113,245176,,default,,19.984355028036152,4.594181708991528,16,1,0,0,0,0,0,,0.0,0.2859923541545868,0.2871363568119705,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
114,245193,,default,,-11.100356463559326,36.00553324818611,17,1,0,0,0,0,0,,0.47058823529411764,0.08027539402246475,0.7062078381285948,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
115,245219,,default,,23.737463407456747,0.8690387587994337,26,1,0,0,0,0,0,,0.0,0.41436007618904114,0.03342456764613207,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
116,245228,,default,,24.46091601430949,0.3290988579392433,9,1,0,0,0,0,0,,0.0,0.47400814294815063,0.036566539771027036,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
117,245241,,default,,24.57347636685259,0.7978010028600693,13,1,0,0,0,0,0,,0.0,0.43376362323760986,0.06136930791231302,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
118,245261,,default,,17.53521457078226,6.70979081094265,20,1,0,0,0,0,0,,0.0,0.22381649911403656,0.3354895405471325,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
119,245280,,default,,17.567017363409956,4.64207911491394,19,1,0,0,0,0,0,,0.0,0.2352035790681839,0.24431995341652318,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
120,245299,,default,,23.48489193626842,2.562934648245573,19,1,0,0,0,0,0,,0.0,0.47664710879325867,0.1348912972760828,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
