episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
10,-53.65609837040681,53.867199178785086,208,1,0,0,0,0,0.049433160573244095,10.4,0.1514386683702469,0.23942728326297724,0.5271723866462708,0,0.0,0.8461538461538461,0.12450650913246694,0.0,0.0,0.0,0.0,0.9855769230769231,0.0,0.0,0.0,0.0014386723113398725,0.0039349472096476415,0.00859123095870018,0.0011384367960720109,0.0011077841134885182,0.0016614676166612369,0.14372876226060236,1.3728671073913574,20.625465393066406,0,0,0,0.0,0,0.20369317730438674
11,8.48536767877459,9.59589870274067,57,1,0,0,0,0,0.053704164922237396,2.85,0.26984450221061707,0.15454161402426267,0.2507801353931427,0,0.0,0.5263157894736842,0.006779172360663458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1151091593705427,0.004840895304815811,0.00635906495153904,0.0014218737028147046,0.00136507397288816,0.0020207612562859268,0.18681762387093745,1.7093874216079712,47.340248107910156,0,0,0,0.0,0,0.16784555358164743
12,-14.747300210485289,23.124651566147804,72,1,0,0,0,0,0.05260995030403137,3.6,0.16277442872524261,0.3031032176481353,0.5171562433242798,0,0.0,0.7361111111111112,0.01063788477403623,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.012774447234596059,0.004634384880773723,0.006102122366428375,0.001368095335136685,0.0013565484356756012,0.0018777058123507434,0.19974660619886386,1.73582923412323,43.298919677734375,0,0,0,0.0,0,0.300266770010418
13,2.100752015824611,18.598829470574856,78,1,0,0,0,0,0.05191381275653839,3.9000000000000004,0.18144144117832184,0.23232178122569352,0.39134037494659424,0,0.0,0.48717948717948717,0.0008058014114688014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0314414199403473,0.004470474576243224,0.007892502471804619,0.0013220648472316754,0.0012891287437807291,0.0018282184878794046,0.10199167142407252,1.0086997747421265,20.066686630249023,0,0,0,0.0,0,0.12732721899058416
14,-72.72106844230555,44.74217866361141,240,0,0,0,0,0,0.19736547768115997,12.0,0.13905508816242218,0.17842793055654813,0.634295642375946,0,0.0,0.7083333333333334,0.0952705748497586,0.041666666666666664,0.041666666666666664,0.0,0.0,0.95,0.0,0.0,0.041666666666666664,-0.01473242984914594,0.00445616126138096,0.00594642199575901,0.0013190445257350802,0.0012747834785841405,0.001831261607973526,0.10391442792800566,1.1287263631820679,23.758806228637695,0,0,0,0.0,0,0.2054846579334847
15,-54.46319752331179,38.742313381284475,240,0,0,0,0,0,0.19864916801452637,12.0,0.18949271738529205,0.1538776634649063,0.40820565819740295,0,0.0,0.6458333333333334,0.01107648558643471,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.02601442970745088,0.005088890355546027,0.01815690565854311,0.0015055114519782365,0.00149875352702414,0.002049985349488755,0.20788787628213565,1.835296630859375,55.031002044677734,0,0,0,0.0,0,0.029018166766859865
16,2.085803153360896,11.621023843064904,113,1,0,0,0,0,0.04783140867948532,5.65,0.269578218460083,0.10049154655595796,0.2801842987537384,0,0.0,0.8407079646017699,0.08113250665990733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11957823324029751,0.004830213024618879,0.0071502989158034325,0.001444778932604642,0.0013901432069529473,0.001961974146883045,0.1221157314041547,1.2940245866775513,21.296451568603516,0,0,0,0.0,0,0.25450318340892064
17,-64.2765211578205,44.60493042692542,240,0,0,0,0,0,0.19931472837924957,12.0,0.15199527144432068,0.17871217040034632,0.5067964196205139,0,0.0,0.7875,0.08092858687745566,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.0,0.001995280344459255,0.004583869552394996,0.00843911711126566,0.001342352204180012,0.0013118746302401027,0.0018981677868093053,0.08273068227572367,0.8969535827636719,22.209001541137695,0,0,0,0.0,0,0.2665228116481846
18,18.20083685334602,4.504540823400021,28,1,0,0,0,0,0.04899313300848007,1.4000000000000001,0.29284167289733887,0.149904410221747,0.20893460512161255,0,0.0,0.7142857142857143,0.014111247954155777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13592716548099626,0.005135395697184971,0.0064300112426280975,0.0015178542650703872,0.0014945979097059795,0.002086851845628449,0.19778480247727462,1.8001359701156616,28.215396881103516,0,0,0,0.0,0,0.24000800205624673
19,-25.624341775126616,34.68025340884924,121,1,0,0,0,0,0.05418083071708679,6.050000000000001,0.1501203030347824,0.2769574372728994,0.524954080581665,0,0.0,0.6859504132231405,0.05161387198687875,0.0,0.0,0.0,0.0,0.9586776859504132,0.0,0.0,0.0,0.00012033012152365408,0.004776146170521571,0.008774236775934696,0.0014189357815448903,0.0013649783843804981,0.0019599872079393097,0.15331295066443848,1.4421370029449463,45.85674285888672,0,0,0,0.0,0,0.4279042768833715
