step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
10,0.55,-0.938860863300786,0.37976038455963135,0.5850390791893005,0.187853142619133,0.33637455105781555,0.35,2,0,0,0,0,,,nan,0,0.5519585013389587,3.754034996032715,66.03977966308594,0.5519585013389587,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,5.168124911426712e-08,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.019944786008224052,0.571906274|0.309547321|0.019944786|0.026944786|0.061897932|0.0741728518,0.721906274|0.459547321|0.169944786|0.176944786|0.211897932|0.224172852,0.691906274|0.429547321|0.139944786|0.146944786|0.181897932|0.194172852,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0624201635|0.0880874546|0.0880874546|0.0519062556|0,-0.102958312|-0.116251077|-0.131066561|-0.131066561|-0.116354099|0,2.18466678|1.18435837|0.0368000372|0.0648000372|0.183143884|0.296691407,0.580400109|0.426053017|0.599383652,-0.0356687307|-0.125761181|-0.0347223654,0.0030633071437478065,0.0008008703589439392,0.0008312640711665154,0.0014106612652540207
11,0.6000000000000001,-0.8549957670003323,0.3492470681667328,0.5760157108306885,0.18821777403354645,0.29812857508659363,0.35,2,0,0,0,0,,,nan,0,0.5544062852859497,6.768404960632324,71.36917114257812,0.5527488589286804,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,0.040697950451075965,0,0,12,joint_3_acceleration_lower,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.01803597252021119,0.56676978|0.306864694|0.0180359725|0.0250359725|0.0585930381|0.0679581187,0.71676978|0.456864694|0.168035973|0.175035973|0.208593038|0.217958119,0.68676978|0.426864694|0.138035973|0.145035973|0.178593038|0.187958119,0.15|0.15|0.15|0.15|0.15|0.15,0|0.079650647|0.13284447|0.13284447|0.0812713934|0,-0.102510581|-0.115911284|-0.131897316|-0.131897316|-0.117212744|0,2.16456854|1.19119814|0.0730910435|0.101091043|0.198430802|0.271832475,0.578616977|0.419764847|0.597647727,-0.0356687307|-0.125761181|-0.0347223654,0.0037320908159017563,0.0008925953879952431,0.0012103328481316566,0.0016044480726122856
12,0.65,-0.8428311494452194,0.3467424809932709,0.5676538348197937,0.1891697198152542,0.2958909273147583,0.35,2,0,0,0,0,,,nan,0,0.6014885902404785,4.626752853393555,81.98111724853516,0.601487934589386,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.0401022268973436e-06,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.018304388736173266,0.561655875|0.305057272|0.0183043887|0.0253043887|0.0568439115|0.0642521416,0.711655875|0.455057272|0.168304389|0.175304389|0.206843912|0.214252142,0.681655875|0.425057272|0.138304389|0.145304389|0.176843912|0.184252142,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0655087961|0.147623029|0.147623029|0.100602925|0,-0.10205479|-0.115511653|-0.132582823|-0.132582823|-0.118267031|0,2.14456871|1.17022623|0.0882577603|0.11625776|0.20971154|0.257008566,0.576833844|0.413476676|0.595911801,-0.0356687307|-0.125761181|-0.0347223654,0.0031230291351675987,0.0007917638868093491,0.000975191593170166,0.0013359040021896362
13,0.7000000000000001,-0.8432031766082335,0.3431815505027771,0.5604376196861267,0.19046853482723236,0.29286640882492065,0.35,2,0,0,0,0,,,nan,0,0.6139081716537476,4.162748336791992,103.45708465576172,0.6139081716537476,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,4.374722808048959e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.019206781880827556,0.556564966|0.30256575|0.0192067819|0.0262067819|0.0560293784|0.0621015495,0.706564966|0.45256575|0.169206782|0.176206782|0.206029378|0.21210155,0.676564966|0.42256575|0.139206782|0.146206782|0.176029378|0.18210155,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0444757745|0.157078185|0.157078185|0.126005988|0,-0.101590782|-0.115156132|-0.132936207|-0.132936207|-0.11893358|0,2.12466908|1.13958264|0.100969105|0.128969105|0.231189921|0.248406198,0.575050712|0.407188505|0.594175875,-0.0356687307|-0.125761181|-0.0347223654,0.002974565140902996,0.0008306326344609261,0.0008553853258490562,0.0012695332989096642
14,0.75,-0.8328405406275772,0.3390769064426422,0.5537317991256714,0.19196094572544098,0.28943127393722534,0.35,2,0,0,0,0,,,nan,0,0.6481108665466309,3.507981777191162,44.439537048339844,0.6481097936630249,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.4000446473197194e-06,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.02050156962976865,0.551497468|0.299047338|0.0205015696|0.0275015696|0.0563726905|0.0613191523,0.701497468|0.449047338|0.17050157|0.17750157|0.20637269|0.211319152,0.671497468|0.419047338|0.14050157|0.14750157|0.17637269|0.181319152,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0344042336|0.16181297|0.16181297|0.136953096|0,-0.101118395|-0.114880666|-0.132965706|-0.132965706|-0.118944597|0,2.10487148|1.11571292|0.110853543|0.138853543|0.243499262|0.245276609,0.573267579|0.400900334|0.59243995,-0.0356687307|-0.125761181|-0.0347223654,0.0037342701107263565,0.0009338883683085442,0.0011063227429986,0.0016732355579733849
15,0.8,-0.811067924203849,0.3345508277416229,0.5469509959220886,0.19362805783748627,0.28564420342445374,0.35,2,0,0,0,0,,,nan,0,0.6905272006988525,1.6148382425308228,52.51802062988281,0.6905272006988525,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,4.6418424686981465e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.02201160959798784,0.546453803|0.295042676|0.0220116096|0.0290116096|0.0572020607|0.0612150555,0.696453803|0.445042676|0.17201161|0.17901161|0.207202061|0.211215055,0.666453803|0.415042676|0.14201161|0.14901161|0.177202061|0.181215055,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0345725658|0.165109852|0.165109852|0.130555714|0,-0.100637468|-0.114641138|-0.132840884|-0.132840884|-0.118564715|0,2.08517774|1.10010213|0.120315406|0.148315406|0.240799242|0.244860222,0.571484447|0.394612163|0.590704024,-0.0356687307|-0.125761181|-0.0347223654,0.0030593425035476685,0.0008156215772032738,0.0009281905367970467,0.0012949444353580475
16,0.8500000000000001,-0.7863300483083105,0.3296661674976349,0.5399199724197388,0.1954546719789505,0.2815547287464142,0.35,2,0,0,0,0,,,nan,0,0.7140640020370483,1.396963119506836,31.502832412719727,0.7140640020370483,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.6299409581874594e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.023699024054543466,0.541434403|0.291059321|0.0236990241|0.0306990241|0.0577087208|0.0610473432,0.691434403|0.441059321|0.173699024|0.180699024|0.207708721|0.211047343,0.661434403|0.411059321|0.143699024|0.150699024|0.177708721|0.181047343,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0360991291|0.167902442|0.167902442|0.1213661|0,-0.100147835|-0.114406419|-0.132697322|-0.132697322|-0.118140595|0,2.06558978|1.08592999|0.130001216|0.158001216|0.234060389|0.244189373,0.569701314|0.388323992|0.588968098,-0.0356687307|-0.125761181|-0.0347223654,0.003922523930668831,0.0012192707508802414,0.0011951271444559097,0.0014764713123440742
17,0.9,-0.7669449094198151,0.3243681788444519,0.5329409241676331,0.19746772944927216,0.27711939811706543,0.35,2,0,0,0,0,,,nan,0,0.739342212677002,1.2146679162979126,27.88887596130371,0.739342212677002,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,6.156630761027741e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.025547135760450618,0.536439706|0.287165319|0.0255471358|0.0325471358|0.0577908811|0.0608128874,0.686439706|0.437165319|0.175547136|0.182547136|0.207790881|0.210812887,0.656439706|0.407165319|0.145547136|0.152547136|0.177790881|0.180812887,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0385349595|0.171244623|0.171244623|0.108895092|0,-0.0996493296|-0.114173276|-0.132545437|-0.132545437|-0.117791214|0,2.0461095|1.07302296|0.14088773|0.16888773|0.222267402|0.24325155,0.567918181|0.382035822|0.587232172,-0.0356687307|-0.125761181|-0.0347223654,0.0034884242340922356,0.0010205861181020737,0.001196146011352539,0.0012521352618932724
18,0.9500000000000001,-0.7500990056933259,0.31880679726600647,0.5261364579200745,0.19961576163768768,0.2724680006504059,0.35,2,0,0,0,0,,,nan,0,0.7616725564002991,1.1552324295043945,8.019055366516113,0.7616725564002991,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.827560656597228e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.027584349350860432,0.531470162|0.283405304|0.0275843494|0.0345843494|0.0573732628|0.0603732436,0.681470162|0.433405304|0.177584349|0.184584349|0.207373263|0.210373244,0.651470162|0.403405304|0.147584349|0.154584349|0.177373263|0.180373244,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0415692201|0.173623165|0.173623165|0.100942328|0,-0.0991417812|-0.113934373|-0.132374931|-0.132374931|-0.118098144|0,2.02673887|1.06125606|0.151585632|0.179585632|0.212337235|0.241492974,0.566135049|0.375747651|0.585496247,-0.0356687307|-0.125761181|-0.0347223654,0.002996990457177162,0.0008184816688299179,0.0008439384400844574,0.001313832588493824
19,1.0,-0.7357419740964588,0.3132625222206116,0.5196030139923096,0.2017914205789566,0.2678408920764923,0.35,2,0,0,0,0,,,nan,0,0.7826653718948364,1.0337227582931519,6.061094760894775,0.7826653718948364,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.679678954061075e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.029760716329893216,0.526526227|0.279808238|0.0297607163|0.0367607163|0.0566840813|0.0596840813,0.676526227|0.429808238|0.179760716|0.186760716|0.206684081|0.209684081,0.646526227|0.399808238|0.149760716|0.156760716|0.176684081|0.179684081,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0449660755|0.173885671|0.173885671|0.0945778861|0,-0.0986250178|-0.113678194|-0.132174818|-0.132174818|-0.11877207|0,2.00747989|1.05052083|0.160753719|0.188753719|0.202542141|0.238736325,0.564351916|0.36945948|0.583760321,-0.0356687307|-0.125761181|-0.0347223654,0.0031761638820171356,0.0009429743513464928,0.00088450126349926,0.0013285856693983078
20,1.05,-0.7253723242746721,0.30805450677871704,0.5134856104850769,0.2038634568452835,0.2635114789009094,0.35,2,0,0,0,0,,,nan,0,0.7993080615997314,0.9804911017417908,4.09563684463501,0.7993080615997314,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.8406612901614385e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.03197038344841194,0.521608365|0.276391841|0.0319703834|0.0389703834|0.055664704|0.058664704,0.671608365|0.426391841|0.181970383|0.188970383|0.205664704|0.208664704,0.641608365|0.396391841|0.151970383|0.158970383|0.175664704|0.178664704,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0484083684|0.171566859|0.171566859|0.0868402423|0,-0.0980988646|-0.113391985|-0.131934779|-0.131934779|-0.119497231|0,1.98833459|1.04058375|0.167513614|0.195513614|0.190001827|0.234658816,0.562568784|0.363171309|0.582024395,-0.0356687307|-0.125761181|-0.0347223654,0.002805386669933796,0.0007975231856107712,0.0007593156769871712,0.0012292182072997093
21,1.1,-0.7149699114056887,0.3029145300388336,0.5077313184738159,0.2059338241815567,0.25925958156585693,0.35,2,0,0,0,0,,,nan,0,0.8107423782348633,0.710310161113739,5.8746514320373535,0.8107423782348633,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,6.10689277046731e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.03408377448816838,0.51671705|0.273158723|0.0340837745|0.0410837745|0.0542392231|0.0572392231,0.66671705|0.423158723|0.184083774|0.191083774|0.204239223|0.207239223,0.63671705|0.393158723|0.154083774|0.161083774|0.174239223|0.177239223,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0504736727|0.171372753|0.171372753|0.084302203|0,-0.0975631448|-0.113062121|-0.131642578|-0.131642578|-0.120245894|0,1.96930506|1.03004644|0.176065272|0.204065272|0.181013201|0.228956892,0.560785651|0.356883138|0.58028847,-0.0356687307|-0.125761181|-0.0347223654,0.0031117917969822884,0.000997951254248619,0.0008321115747094154,0.0012619271874427795
22,1.1500000000000001,-0.7041500178054414,0.29757484793663025,0.5022842288017273,0.20811514556407928,0.25485846400260925,0.35,2,0,0,0,0,,,nan,0,0.8163194060325623,0.6625025868415833,7.832730770111084,0.8163194060325623,1.0,nan,0,0,0,0,0.07861910235296296,0.0,passthrough,5.683675752401568e-12,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.036206703354261044,0.511852766|0.270043451|0.0362067034|0.0432067034|0.0526626398|0.055662638,0.661852766|0.420043451|0.186206703|0.193206703|0.20266264|0.205662638,0.631852766|0.390043451|0.156206703|0.163206703|0.17266264|0.175662638,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0525618417|0.173530328|0.173530328|0.0866051307|0,-0.0970176791|-0.112697314|-0.131271272|-0.131271272|-0.120972116|0,1.95039339|1.02003833|0.187085869|0.215085869|0.176283573|0.222650552,0.559002519|0.350594968|0.578552544,-0.0356687307|-0.125761181|-0.0347223654,0.00289144366979599,0.0007888907566666603,0.0007948698475956917,0.0012880461290478706
23,1.2000000000000002,-0.6869133156261049,0.29154860973358154,0.49681657552719116,0.2106291502714157,0.24988435208797455,0.35,2,0,0,0,0,,,nan,0,0.7977951765060425,1.135981559753418,18.519060134887695,0.7977941632270813,1.0,nan,0,0,0,0,0.07861910235296296,0.0,filtered,1.4729032006500343e-06,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.038452611828862754,0.507016004|0.267048923|0.0384526118|0.0454526118|0.0511714231|0.0541714023,0.657016004|0.417048923|0.188452612|0.195452612|0.201171423|0.204171402,0.627016004|0.387048923|0.158452612|0.165452612|0.171171423|0.174171402,0.15|0.15|0.15|0.15|0.15|0.15,0|0.056763664|0.180293886|0.180293886|0.0977994972|0,-0.0964622863|-0.112296125|-0.13081518|-0.13081518|-0.121630075|0,1.93160173|1.01266323|0.203289153|0.231289153|0.180855115|0.216685609,0.557219386|0.344306797|0.576816618,-0.0356687307|-0.125761181|-0.0347223654,0.0030667250975966454,0.0008136527612805367,0.0008793501183390617,0.001355016604065895
