reset_seed,static_candidate_path_status,ik_status,goal_x_m,goal_y_m,goal_z_m,obstacle_x_m,obstacle_y_m,obstacle_z_m,obstacle_goal_distance_m,obstacle_goal_y_opposite_side,actor_count,success_count,timeout_count,collision_count,failure_mode_counts,mean_final_goal_error_m,mean_best_goal_error_m,mean_tail_qdot_norm_radps,mean_tail_goal_progress_m,mean_min_distance_m
9068,candidate_path_found,reachable,0.32283973693847656,0.3014237582683563,0.7088017463684082,0.5999466180801392,-0.5724108219146729,0.30908820033073425,1.000073005327972,1,3,3,0,0,"{""success"": 3}",0.046165080120166145,0.046165080120166145,1.501303170006592,0.5002692031363646,0.5125553210576376
9069,candidate_path_found,reachable,0.2668432891368866,0.22072471678256989,0.6407018899917603,0.4936872124671936,-0.5096438527107239,0.48374509811401367,0.7807252060566001,1,3,3,0,0,"{""success"": 3}",0.05034230276942253,0.05034230276942253,1.082275184162291,0.27620672062039375,0.5279239614804586
9070,candidate_path_found,reachable,0.3784865140914917,0.1910942643880844,0.21140965819358826,0.517090380191803,-0.47131234407424927,0.38420742750167847,0.6984644698983452,1,3,3,0,0,"{""success"": 3}",0.043638356029987335,0.043638356029987335,1.2608636704265563,0.19999877363443375,0.43116198976834613
9071,candidate_path_found,reachable,0.40676188468933105,-0.17671476304531097,0.5552818775177002,0.41269898414611816,0.5570442080497742,0.19684253633022308,0.8166493973079209,1,3,3,0,0,"{""success"": 3}",0.04681472231944402,0.04681472231944402,1.3644783815112014,0.3345092112819354,0.3788373867670695
9072,candidate_path_found,reachable,0.484658420085907,0.4065490663051605,0.6273398399353027,0.404403954744339,-0.5344907641410828,0.6012901663780212,0.9448149698147231,1,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.07595432549715042,0.050702255219221115,1.021091377404001,0.17947554836670557,0.4996761679649353
9073,candidate_path_found,reachable,0.2659327983856201,0.3329489529132843,0.20371608436107635,0.5629316568374634,-0.43177056312561035,0.37669703364372253,0.8384072214307225,1,3,3,0,0,"{""success"": 3}",0.04250716293851534,0.04250716293851534,1.457943077143441,0.3208152341345946,0.4101669291655223
9074,candidate_path_found,reachable,0.26069822907447815,0.3858238458633423,0.6638026833534241,0.2993921935558319,0.6163496971130371,0.3569994270801544,0.38570406925719913,0,3,3,0,0,"{""success"": 3}",0.04948022464911143,0.04948022464911143,1.0969482473977417,0.23413854340712228,0.28591323892275494
9075,candidate_path_found,reachable,0.5016101002693176,0.3816014230251312,0.31070077419281006,0.671245813369751,-0.4423958957195282,0.2351405918598175,0.8446639554353409,1,3,3,0,0,"{""success"": 3}",0.04702778408924738,0.04702778408924738,1.1295215998635146,0.23213044057289758,0.4295769929885864
9076,candidate_path_found,reachable,0.2505757510662079,-0.0536082461476326,0.4637458324432373,0.5482402443885803,-0.5331319570541382,0.3281044065952301,0.5804702716870961,0,3,3,0,0,"{""success"": 3}",0.053226674596468605,0.053226674596468605,1.3504994162308275,0.3509881446758906,0.35687244931856793
9077,candidate_path_found,reachable,0.5836329460144043,0.28988751769065857,0.4175099730491638,0.714276909828186,-0.5673704147338867,0.5768818855285645,0.8816793149854003,1,3,3,0,0,"{""success"": 3}",0.05193686733643214,0.05193686733643214,1.4348601679007214,0.17841768513123193,0.5634849866231283
9078,candidate_path_found,reachable,0.6214704513549805,-0.23893271386623383,0.1957949548959732,0.7002844214439392,-0.5646069645881653,0.4791533052921295,0.43882492431914766,0,3,3,0,0,"{""success"": 3}",0.04437139009435972,0.04437139009435972,1.1723289493609357,0.35331843917568523,0.25894732276598614
9079,candidate_path_found,reachable,0.3822247087955475,0.05401287600398064,0.5236977934837341,0.6266616582870483,-0.5106149911880493,0.24287253618240356,0.6763260129736913,1,3,3,0,0,"{""success"": 3}",0.04883040115237236,0.04883040115237236,1.3123773689623233,0.23263173177838326,0.5095998048782349
9080,candidate_path_found,reachable,0.6892859935760498,-0.1376163363456726,0.36405542492866516,0.48581546545028687,0.4210793673992157,0.2983397841453552,0.5982137499609432,1,3,3,0,0,"{""success"": 3}",0.0443649577597777,0.0443649577597777,1.3359219094117483,0.2406927061577638,0.20516159137090048
9081,candidate_path_found,reachable,0.34532245993614197,-0.20781388878822327,0.46996915340423584,0.6571240425109863,0.4727236032485962,0.5493919253349304,0.752767880335696,1,3,3,0,0,"{""success"": 3}",0.047324047734340034,0.047324047734340034,1.4472997192180517,0.46018405134479207,0.2148533215125402
9082,candidate_path_found,reachable,0.7641600966453552,0.04137800261378288,0.21854405105113983,0.584675669670105,0.49708250164985657,0.4184064269065857,0.5289860293532678,0,3,3,0,0,"{""success"": 3}",0.04710972309112549,0.04710972309112549,1.3109019911951487,0.11384836335976918,0.3828340868155162
9083,candidate_path_found,reachable,0.6214098930358887,-0.1075906753540039,0.5167578458786011,0.43107888102531433,-0.4336356222629547,0.43096837401390076,0.3871576358805986,0,3,3,0,0,"{""success"": 3}",0.04284967357913653,0.04284967357913653,1.37651543482015,0.3357923390964667,0.2845797340075175
9084,candidate_path_found,reachable,0.753842830657959,0.05326874554157257,0.6517744064331055,0.4597586989402771,-0.5297375321388245,0.34667298197746277,0.7207417537147112,1,3,3,0,0,"{""success"": 3}",0.050679631531238556,0.050679631531238556,1.4689880562207058,0.35325003912051517,0.4043680628140767
9085,candidate_path_found,reachable,0.6955426931381226,0.12145711481571198,0.3090396523475647,0.24010226130485535,0.5703426599502563,0.5616713762283325,0.6875660022791837,0,3,3,0,0,"{""success"": 3}",0.04170260578393936,0.04170260578393936,1.2214878155125513,0.11298663665850957,0.36245112617810565
9086,candidate_path_found,reachable,0.3211914896965027,0.20863711833953857,0.28808364272117615,0.4561122953891754,-0.4484226107597351,0.38594210147857666,0.6778697436551839,1,3,3,0,0,"{""success"": 3}",0.05174430956443151,0.05174430956443151,1.4329849727175852,0.18360141664743423,0.39917535583178204
9087,candidate_path_found,reachable,0.6313589215278625,-0.18172067403793335,0.4985400140285492,0.6963896155357361,0.4926876127719879,0.2177893966436386,0.7334005983383483,1,3,3,0,0,"{""success"": 3}",0.0471538541217645,0.0471538541217645,1.5178634978476024,0.38965197031696636,0.30889539917310077
9088,candidate_path_found,reachable,0.7173216938972473,-0.43814072012901306,0.33066579699516296,0.32891473174095154,0.527140736579895,0.36929070949554443,1.0412109021630613,1,3,3,0,0,"{""success"": 3}",0.05056066562732061,0.05056066562732061,1.643462902969784,0.4556121304631233,0.4263649682203929
9089,candidate_path_found,reachable,0.3909670114517212,-0.40643414855003357,0.4103468060493469,0.3002191185951233,0.4932364225387573,0.5264757871627808,0.9116623589880126,1,3,3,0,0,"{""success"": 3}",0.04706576590736707,0.04706576590736707,1.3296744365220756,0.5938262032965819,0.2270123908917109
9090,candidate_path_found,reachable,0.4094751179218292,0.009695901535451412,0.5553547739982605,0.660469651222229,-0.5090175271034241,0.25764456391334534,0.648608700208213,1,3,3,0,0,"{""success"": 3}",0.04804880047837893,0.04804880047837893,1.3099738892029833,0.1965609428783258,0.5248340566953024
